sample	pop	sex
HG00096	GBR	Male
HG00171	FIN	Female
HG00759	CDX	Female
HG01119	CLM	Female
HG01985	ACB	Female
HG02105	PEL	Female
HG03009	BEB	Male
HG03171	ESN	Female
HG00130	GBR	Female
HG00139	GBR	Male
HG00148	GBR	Male
HG00173	FIN	Female
HG00247	GBR	Female
HG00278	FIN	Male
HG00342	FIN	Male
HG00377	FIN	Female
HG00443	CHS	Female
HG00464	CHS	Female
HG00583	CHS	Male
HG00650	CHS	Male
HG00766	CDX	Female
HG00844	CDX	Male
HG01058	PUR	Female
HG01108	PUR	Female
HG01124	CLM	Male
HG01148	CLM	Male
HG01242	PUR	Female
HG01259	CLM	Male
HG01341	CLM	Male
HG01366	CLM	Female
HG01390	CLM	Female
HG01392	PUR	Male
HG01396	PUR	Female
HG01589	PJL	Male
HG01676	IBS	Female
HG01700	IBS	Male
HG01765	IBS	Male
HG01773	IBS	Female
HG01791	GBR	Male
HG01796	CDX	Female
HG01863	KHV	Female
HG01915	ACB	Female
HG01932	PEL	Male
HG01942	PEL	Female
HG01945	PEL	Female
HG01988	ACB	Male
HG01992	PEL	Female
HG02009	ACB	Male
HG02013	ACB	Male
HG02079	KHV	Male
HG02111	ACB	Female
HG02128	KHV	Male
HG02133	KHV	Female
HG02137	KHV	Male
HG02143	ACB	Male
HG02146	PEL	Male
HG02152	CDX	Female
HG02180	CDX	Female
HG02224	IBS	Male
HG02239	IBS	Female
HG02265	PEL	Male
HG02490	PJL	Male
HG02496	ACB	Male
HG02521	KHV	Male
HG02554	ACB	Male
HG02580	ACB	Female
HG02604	PJL	Female
HG02737	PJL	Female
HG02805	GWD	Female
HG02836	GWD	Male
HG02922	ESN	Female
HG02938	ESN	Male
HG02943	ESN	Female
HG02971	ESN	Male
HG03073	MSL	Female
HG03081	MSL	Male
HG03097	MSL	Female
HG03108	ESN	Female
HG03114	ESN	Female
HG03115	ESN	Male
HG03189	ESN	Female
HG03238	PJL	Female
HG03361	ESN	Male
HG03394	MSL	Male
HG03461	MSL	Female
HG03476	MSL	Female
HG03521	ESN	Male
HG03548	MSL	Female
HG03577	MSL	Male
HG03582	MSL	Male
HG03595	BEB	Female
HG03604	BEB	Female
HG03607	BEB	Female
HG03687	STU	Male
HG03793	BEB	Female
HG03797	BEB	Male
HG03837	STU	Male
HG03863	ITU	Female
HG03972	ITU	Female
HG04039	STU	Male
HG04062	ITU	Female
HG04128	BEB	Male
HG04149	BEB	Male
HG00404	CHS	Female
HG00407	CHS	Female
HG00409	CHS	Male
HG00418	CHS	Male
HG00419	CHS	Female
HG00420	CHS	Male
HG00427	CHS	Male
HG00436	CHS	Male
HG00442	CHS	Male
HG00446	CHS	Female
HG00449	CHS	Female
HG00452	CHS	Female
HG00472	CHS	Male
HG00475	CHS	Male
HG00479	CHS	Female
HG00513	CHS	Female
HG00530	CHS	Male
HG00537	CHS	Female
HG00565	CHS	Male
HG00566	CHS	Female
HG00584	CHS	Female
HG00589	CHS	Male
HG00596	CHS	Female
HG00607	CHS	Male
HG00608	CHS	Female
HG00610	CHS	Male
HG00619	CHS	Male
HG00622	CHS	Male
HG00626	CHS	Female
HG00632	CHS	Female
HG00634	CHS	Male
HG00651	CHS	Female
HG00657	CHS	Female
HG00684	CHS	Female
HG00692	CHS	Male
HG00702	CHS	Female
HG00717	CHS	Female
HG00881	CDX	Male
HG00982	CDX	Male
HG00983	CDX	Male
HG01028	CDX	Male
HG01121	CLM	Male
HG01130	CLM	Male
HG01131	CLM	Female
HG01133	CLM	Male
HG01134	CLM	Female
HG01136	CLM	Male
HG01137	CLM	Female
HG01142	CLM	Male
HG01256	CLM	Male
HG01257	CLM	Female
HG01258	CLM	Male
HG01275	CLM	Female
HG01278	CLM	Female
HG01344	CLM	Male
HG01345	CLM	Female
HG01347	CLM	Male
HG01348	CLM	Female
HG01356	CLM	Male
HG01375	CLM	Female
HG01377	CLM	Male
HG01384	CLM	Female
HG01389	CLM	Male
HG01455	CLM	Male
HG01464	CLM	Male
HG01465	CLM	Female
HG01489	CLM	Female
HG01492	CLM	Female
HG01494	CLM	Male
HG01550	CLM	Male
HG01551	CLM	Female
HG01794	CDX	Female
HG01798	CDX	Female
HG01800	CDX	Female
HG01805	CDX	Female
HG01806	CDX	Female
HG01807	CDX	Female
HG01809	CDX	Female
HG01813	CDX	Female
HG01815	CDX	Female
HG01817	CDX	Female
HG01879	ACB	Male
HG01880	ACB	Female
HG01883	ACB	Female
HG01890	ACB	Male
HG01894	ACB	Female
HG01896	ACB	Female
HG01990	ACB	Male
HG02010	ACB	Female
HG02012	ACB	Female
HG02014	ACB	Male
HG02053	ACB	Male
HG02095	ACB	Female
HG02107	ACB	Male
HG02144	ACB	Female
HG02153	CDX	Female
HG02154	CDX	Female
HG02155	CDX	Female
HG02156	CDX	Female
HG02164	CDX	Female
HG02165	CDX	Female
HG02178	CDX	Female
HG02182	CDX	Female
HG02184	CDX	Female
HG02189	CDX	Female
HG02250	CDX	Male
HG02283	ACB	Male
HG02284	ACB	Male
HG02307	ACB	Male
HG02308	ACB	Female
HG02309	ACB	Female
HG02314	ACB	Male
HG02318	ACB	Female
HG02325	ACB	Female
HG02332	ACB	Male
HG02337	ACB	Female
HG02364	CDX	Male
HG02367	CDX	Male
HG02372	CDX	Male
HG02382	CDX	Male
HG02384	CDX	Male
HG02390	CDX	Male
HG02402	CDX	Male
HG02410	CDX	Male
HG02420	ACB	Male
HG02429	ACB	Male
HG02442	ACB	Male
HG02445	ACB	Male
HG02455	ACB	Male
HG02477	ACB	Female
HG02478	ACB	Male
HG02485	ACB	Female
HG02545	ACB	Male
HG02546	ACB	Female
HG02558	ACB	Female
HG02577	ACB	Female
HG03593	BEB	Male
HG03598	BEB	Female
HG03600	BEB	Male
HG03794	BEB	Male
HG03800	BEB	Male
HG03802	BEB	Female
HG03803	BEB	Male
HG03805	BEB	Female
HG03809	BEB	Male
HG03812	BEB	Male
HG03816	BEB	Female
HG03821	BEB	Male
HG03824	BEB	Male
HG03830	BEB	Male
HG03904	BEB	Female
HG03916	BEB	Female
HG03925	BEB	Female
HG03928	BEB	Female
HG03929	BEB	Male
HG03931	BEB	Female
HG03940	BEB	Female
HG03941	BEB	Male
HG04131	BEB	Male
HG04132	BEB	Female
HG04140	BEB	Male
HG04146	BEB	Male
HG04147	BEB	Female
HG04156	BEB	Female
HG04177	BEB	Female
HG04180	BEB	Female
HG04183	BEB	Female
HG04186	BEB	Female
HG04191	BEB	Male
HG04192	BEB	Female
HG04194	BEB	Male
NA06989	CEU	Female
NA07014	CEU	Female
NA07019	CEU	Female
NA07048	CEU	Male
NA07348	CEU	Female
NA10835	CEU	Male
NA10839	CEU	Female
NA10842	CEU	Male
NA10843	CEU	Female
NA10850	CEU	Female
NA10851	CEU	Male
NA10852	CEU	Female
NA10856	CEU	Male
NA10857	CEU	Male
NA10859	CEU	Female
NA10861	CEU	Female
NA12335	CEU	Male
NA12336	CEU	Female
NA12376	CEU	Female
NA12386	CEU	Female
NA12766	CEU	Male
NA12801	CEU	Male
NA12802	CEU	Female
NA12877	CEU	Male
NA12878	CEU	Female
NA12889	CEU	Male
NA12890	CEU	Female
NA12891	CEU	Male
NA12892	CEU	Female
NA15204	CEU	Female
NA15208	CEU	Male
NA15725	CEU	Male
NA15727	CEU	Male
NA15728	CEU	Male
NA15729	CEU	Female
NA15730	CEU	Female
NA15732	CEU	Female
NA18525	CHB	Female
NA18526	CHB	Female
NA18528	CHB	Female
NA18530	CHB	Male
NA18532	CHB	Female
NA18537	CHB	Female
NA18538	CHB	Female
NA18539	CHB	Female
NA18540	CHB	Female
NA18544	CHB	Male
NA18546	CHB	Male
NA18552	CHB	Female
NA18553	CHB	Female
NA18555	CHB	Female
NA18565	CHB	Female
NA18566	CHB	Female
NA18567	CHB	Female
NA18570	CHB	Female
NA18571	CHB	Female
NA18577	CHB	Female
NA18579	CHB	Female
NA18591	CHB	Female
NA18592	CHB	Female
NA18595	CHB	Female
NA18599	CHB	Female
NA18603	CHB	Male
NA18605	CHB	Male
NA18612	CHB	Male
NA18616	CHB	Female
NA18621	CHB	Male
NA18623	CHB	Male
NA18625	CHB	Female
NA18632	CHB	Male
NA18637	CHB	Male
NA18639	CHB	Male
NA18642	CHB	Female
NA18741	CHB	Female
NA19700	ASW	Male
NA19701	ASW	Female
NA19703	ASW	Male
NA19707	ASW	Female
NA19711	ASW	Male
NA19818	ASW	Male
NA19819	ASW	Female
NA19828	ASW	Male
NA19834	ASW	Male
NA19835	ASW	Female
NA19900	ASW	Male
NA19901	ASW	Female
NA19904	ASW	Male
NA19908	ASW	Male
NA19909	ASW	Female
NA19916	ASW	Male
NA19921	ASW	Female
NA19985	ASW	Female
NA20127	ASW	Female
NA20276	ASW	Female
NA20278	ASW	Male
NA20281	ASW	Male
NA20289	ASW	Female
NA20294	ASW	Female
NA20298	ASW	Male
NA20314	ASW	Female
NA20332	ASW	Female
NA20334	ASW	Female
NA20336	ASW	Female
NA20342	ASW	Male
NA20346	ASW	Male
NA20348	ASW	Male
NA20356	ASW	Male
NA20357	ASW	Female
NA20359	ASW	Female
NA20363	ASW	Female
HG00098	GBR	Male
HG00099	GBR	Female
HG00100	GBR	Female
HG00101	GBR	Male
HG00103	GBR	Male
HG00106	GBR	Female
HG00107	GBR	Male
HG00111	GBR	Female
HG00114	GBR	Male
HG00117	GBR	Male
HG00120	GBR	Female
HG00123	GBR	Female
HG00124	GBR	Female
HG00125	GBR	Female
HG00128	GBR	Female
HG00129	GBR	Male
HG00131	GBR	Male
HG00133	GBR	Female
HG00137	GBR	Female
HG00141	GBR	Male
HG00146	GBR	Female
HG00149	GBR	Male
HG00152	GBR	Male
HG00157	GBR	Male
HG00158	GBR	Female
HG00159	GBR	Male
HG00188	FIN	Male
HG00190	FIN	Male
HG00235	GBR	Female
HG00242	GBR	Male
HG00243	GBR	Male
HG00252	GBR	Male
HG00254	GBR	Female
HG00255	GBR	Female
HG00258	GBR	Female
HG00261	GBR	Female
HG00268	FIN	Female
HG00269	FIN	Female
HG00271	FIN	Male
HG00273	FIN	Male
HG00274	FIN	Female
HG00282	FIN	Female
HG00284	FIN	Male
HG00311	FIN	Male
HG00312	FIN	Male
HG00313	FIN	Female
HG00315	FIN	Female
HG00321	FIN	Male
HG00323	FIN	Female
HG00324	FIN	Female
HG00325	FIN	Male
HG00334	FIN	Female
HG00335	FIN	Male
HG00336	FIN	Male
HG00338	FIN	Male
HG00346	FIN	Female
HG00349	FIN	Female
HG00357	FIN	Female
HG00360	FIN	Male
HG00361	FIN	Female
HG00365	FIN	Female
HG00367	FIN	Female
HG00368	FIN	Female
HG00378	FIN	Female
HG00381	FIN	Female
HG01269	CLM	Female
HG01284	CLM	Female
HG01362	CLM	Male
HG01447	CLM	Female
HG01453	CLM	Female
HG01474	CLM	Female
HG01479	CLM	Male
HG01500	IBS	Male
HG01504	IBS	Female
HG01506	IBS	Male
HG01507	IBS	Female
HG01509	IBS	Male
HG01512	IBS	Male
HG01513	IBS	Female
HG01518	IBS	Male
HG01519	IBS	Female
HG01525	IBS	Female
HG01527	IBS	Male
HG01530	IBS	Male
HG01602	IBS	Female
HG01605	IBS	Female
HG01606	IBS	Male
HG01608	IBS	Male
HG01612	IBS	Female
HG01617	IBS	Male
HG01626	IBS	Female
HG01630	IBS	Male
HG01673	IBS	Female
HG01678	IBS	Male
HG01680	IBS	Male
HG01684	IBS	Female
HG01694	IBS	Male
HG01699	IBS	Male
HG01756	IBS	Male
HG01766	IBS	Female
HG01776	IBS	Female
HG01779	IBS	Female
HG01786	IBS	Female
HG01789	GBR	Male
HG02223	IBS	Female
HG02231	IBS	Male
HG02238	IBS	Male
HG02561	GWD	Male
HG02562	GWD	Female
HG02568	GWD	Female
HG02573	GWD	Male
HG02582	GWD	Male
HG02585	GWD	Male
HG02588	GWD	Male
HG02595	GWD	Female
HG02611	GWD	Female
HG02634	GWD	Male
HG02635	GWD	Female
HG02643	GWD	Female
HG02678	GWD	Male
HG02679	GWD	Female
HG02703	GWD	Female
HG02715	GWD	Male
HG02721	GWD	Male
HG02768	GWD	Male
HG02771	GWD	Male
HG02895	GWD	Male
HG02944	ESN	Male
HG02953	ESN	Male
HG02970	ESN	Female
HG02976	ESN	Female
HG02982	GWD	Male
HG02983	GWD	Female
HG03024	GWD	Male
HG03028	GWD	Female
HG03039	GWD	Male
HG03048	GWD	Male
HG03100	ESN	Male
HG03103	ESN	Male
HG03105	ESN	Female
HG03109	ESN	Male
HG03111	ESN	Female
HG03112	ESN	Male
HG03117	ESN	Female
HG03124	ESN	Male
HG03127	ESN	Male
HG03130	ESN	Male
HG03132	ESN	Female
HG03133	ESN	Male
HG03159	ESN	Female
HG03163	ESN	Male
HG03172	ESN	Male
HG03193	ESN	Male
HG03198	ESN	Female
HG03199	ESN	Male
HG03240	GWD	Male
HG03241	GWD	Female
HG03247	GWD	Female
HG03258	GWD	Male
HG03265	ESN	Male
HG03300	ESN	Female
HG03301	ESN	Male
HG03303	ESN	Female
HG03307	ESN	Male
HG03311	ESN	Male
HG03342	ESN	Female
HG03372	ESN	Female
HG03373	ESN	Male
HG03493	ESN	Female
HG03499	ESN	Female
HG03508	ESN	Female
HG03511	ESN	Female
HG03517	ESN	Female
HG03518	ESN	Male
HG03539	GWD	Female
HG03714	ITU	Female
HG03721	ITU	Female
HG03722	ITU	Female
HG03727	ITU	Male
HG03729	ITU	Male
HG03730	ITU	Female
HG03742	ITU	Male
HG03780	ITU	Female
HG03781	ITU	Female
HG03784	ITU	Female
HG03786	ITU	Male
HG03792	ITU	Male
HG03862	ITU	Female
HG03869	ITU	Male
HG03870	ITU	Male
HG03871	ITU	Male
HG03872	ITU	Male
HG03882	ITU	Female
HG03963	ITU	Male
HG03965	ITU	Male
HG03968	ITU	Female
HG03973	ITU	Female
HG03976	ITU	Male
HG03977	ITU	Female
HG04014	ITU	Female
HG04015	ITU	Male
HG04017	ITU	Male
HG04018	ITU	Female
HG04020	ITU	Male
HG04022	ITU	Male
HG04024	ITU	Female
HG04025	ITU	Female
HG04070	ITU	Female
HG04118	ITU	Female
HG04198	ITU	Male
HG04200	ITU	Female
NA18940	JPT	Male
NA18941	JPT	Female
NA18942	JPT	Female
NA18944	JPT	Male
NA18946	JPT	Female
NA18947	JPT	Female
NA18953	JPT	Male
NA18956	JPT	Female
NA18960	JPT	Male
NA18965	JPT	Male
NA18966	JPT	Male
NA18968	JPT	Female
NA18969	JPT	Female
NA18971	JPT	Male
NA18972	JPT	Female
NA18974	JPT	Male
NA18977	JPT	Male
NA18980	JPT	Female
NA18981	JPT	Female
NA18983	JPT	Male
NA18988	JPT	Male
NA18989	JPT	Male
NA19001	JPT	Female
NA20846	GIH	Male
NA20847	GIH	Female
NA20852	GIH	Male
NA20853	GIH	Female
NA20858	GIH	Male
NA20861	GIH	Male
NA20863	GIH	Male
NA20866	GIH	Male
NA20867	GIH	Male
NA20873	GIH	Male
NA20876	GIH	Female
NA20883	GIH	Male
NA20885	GIH	Male
NA20888	GIH	Female
NA20890	GIH	Male
NA20893	GIH	Female
NA20896	GIH	Female
NA20898	GIH	Male
NA20899	GIH	Female
NA20900	GIH	Female
NA20901	GIH	Male
NA21098	GIH	Male
NA21099	GIH	Male
NA21101	GIH	Female
NA21102	GIH	Female
NA21103	GIH	Female
NA21110	GIH	Female
NA21111	GIH	Male
NA21113	GIH	Male
NA21114	GIH	Male
NA21117	GIH	Male
NA21118	GIH	Male
NA21120	GIH	Female
NA21124	GIH	Male
NA21126	GIH	Male
NA21127	GIH	Male
NA21142	GIH	Female
HG00551	PUR	Female
HG00637	PUR	Male
HG00641	PUR	Female
HG00731	PUR	Male
HG00736	PUR	Male
HG00737	PUR	Female
HG00739	PUR	Male
HG00740	PUR	Female
HG01047	PUR	Male
HG01048	PUR	Male
HG01054	PUR	Male
HG01055	PUR	Female
HG01060	PUR	Male
HG01066	PUR	Male
HG01072	PUR	Male
HG01073	PUR	Female
HG01085	PUR	Male
HG01086	PUR	Female
HG01089	PUR	Female
HG01101	PUR	Male
HG01102	PUR	Female
HG01104	PUR	Male
HG01107	PUR	Male
HG01167	PUR	Male
HG01168	PUR	Female
HG01174	PUR	Female
HG01187	PUR	Male
HG01188	PUR	Female
HG01197	PUR	Male
HG01198	PUR	Female
HG01241	PUR	Male
HG01286	PUR	Male
HG01302	PUR	Male
HG01308	PUR	Male
HG01311	PUR	Male
HG01398	PUR	Male
HG01412	PUR	Male
HG01566	PEL	Female
HG01571	PEL	Male
HG01572	PEL	Female
HG01577	PEL	Male
HG01578	PEL	Female
HG01583	PJL	Male
HG01586	PJL	Male
HG01595	KHV	Female
HG01596	KHV	Male
HG01597	KHV	Female
HG01598	KHV	Female
HG01600	KHV	Female
HG01840	KHV	Male
HG01846	KHV	Male
HG01851	KHV	Female
HG01853	KHV	Female
HG01859	KHV	Female
HG01865	KHV	Male
HG01866	KHV	Male
HG01870	KHV	Female
HG01871	KHV	Female
HG01872	KHV	Male
HG01873	KHV	Male
HG01917	PEL	Male
HG01918	PEL	Female
HG01923	PEL	Male
HG01933	PEL	Female
HG01935	PEL	Male
HG01939	PEL	Female
HG01947	PEL	Male
HG01948	PEL	Female
HG01950	PEL	Male
HG01951	PEL	Female
HG01953	PEL	Male
HG01961	PEL	Male
HG01965	PEL	Female
HG01967	PEL	Male
HG01971	PEL	Female
HG01977	PEL	Male
HG01982	PEL	Male
HG01983	PEL	Female
HG01991	PEL	Male
HG01997	PEL	Female
HG02003	PEL	Female
HG02006	PEL	Female
HG02016	KHV	Female
HG02017	KHV	Male
HG02020	KHV	Male
HG02031	KHV	Female
HG02058	KHV	Male
HG02060	KHV	Female
HG02064	KHV	Male
HG02067	KHV	Male
HG02069	KHV	Female
HG02072	KHV	Female
HG02081	KHV	Female
HG02082	KHV	Male
HG02087	KHV	Female
HG02089	PEL	Female
HG02116	KHV	Male
HG02121	KHV	Female
HG02130	KHV	Female
HG02136	KHV	Female
HG02138	KHV	Male
HG02139	KHV	Female
HG02253	PEL	Male
HG02266	PEL	Female
HG02271	PEL	Male
HG02274	PEL	Male
HG02275	PEL	Female
HG02277	PEL	Male
HG02285	PEL	Male
HG02291	PEL	Male
HG02292	PEL	Female
HG02493	PJL	Male
HG02494	PJL	Female
HG02522	KHV	Female
HG02524	KHV	Male
HG02597	PJL	Male
HG02600	PJL	Male
HG02657	PJL	Male
HG02661	PJL	Female
HG02681	PJL	Male
HG02684	PJL	Male
HG02685	PJL	Female
HG02687	PJL	Male
HG02688	PJL	Female
HG02690	PJL	Male
HG02691	PJL	Female
HG02697	PJL	Female
HG02724	PJL	Male
HG02727	PJL	Male
HG02728	PJL	Female
HG02781	PJL	Female
HG02789	PJL	Male
HG02793	PJL	Female
HG03015	PJL	Male
HG03016	PJL	Female
HG03019	PJL	Female
HG03052	MSL	Female
HG03057	MSL	Male
HG03058	MSL	Female
HG03060	MSL	Male
HG03066	MSL	Male
HG03074	MSL	Male
HG03076	MSL	Female
HG03077	MSL	Male
HG03085	MSL	Female
HG03086	MSL	Female
HG03091	MSL	Female
HG03212	MSL	Female
HG03228	PJL	Male
HG03383	MSL	Female
HG03388	MSL	Male
HG03391	MSL	Male
HG03393	MSL	Female
HG03397	MSL	Male
HG03410	MSL	Female
HG03431	MSL	Female
HG03437	MSL	Female
HG03439	MSL	Male
HG03442	MSL	Male
HG03449	MSL	Female
HG03455	MSL	Female
HG03457	MSL	Male
HG03462	MSL	Male
HG03470	MSL	Female
HG03473	MSL	Female
HG03484	MSL	Male
HG03485	MSL	Female
HG03633	PJL	Male
HG03639	PJL	Male
HG03640	PJL	Female
HG03644	STU	Male
HG03645	STU	Female
HG03650	PJL	Female
HG03672	STU	Male
HG03673	STU	Female
HG03681	STU	Male
HG03686	STU	Male
HG03689	STU	Female
HG03690	STU	Female
HG03695	STU	Male
HG03697	STU	Male
HG03703	PJL	Female
HG03705	PJL	Male
HG03708	PJL	Male
HG03709	PJL	Female
HG03711	STU	Male
HG03740	STU	Male
HG03741	STU	Female
HG03746	STU	Male
HG03753	STU	Male
HG03756	STU	Female
HG03760	STU	Female
HG03761	PJL	Male
HG03836	STU	Female
HG03838	STU	Female
HG03842	STU	Female
HG03844	STU	Male
HG03848	STU	Male
HG03854	STU	Male
HG03856	STU	Male
HG03886	STU	Female
HG03888	STU	Female
HG03890	STU	Male
HG03894	STU	Female
HG03895	STU	Female
HG03900	STU	Male
HG03947	STU	Female
HG03990	STU	Male
HG03999	STU	Male
HG04006	STU	Male
HG04099	STU	Female
HG04210	STU	Male
HG04227	STU	Female
NA18498	YRI	Male
NA18499	YRI	Female
NA18502	YRI	Female
NA18504	YRI	Male
NA18510	YRI	Male
NA18516	YRI	Male
NA18520	YRI	Female
NA18523	YRI	Female
NA18853	YRI	Male
NA18859	YRI	Male
NA18862	YRI	Male
NA18867	YRI	Female
NA18868	YRI	Male
NA18873	YRI	Female
NA18874	YRI	Male
NA18912	YRI	Female
NA18913	YRI	Male
NA19003	JPT	Female
NA19011	JPT	Female
NA19012	JPT	Male
NA19017	LWK	Female
NA19019	LWK	Female
NA19022	LWK	Female
NA19024	LWK	Female
NA19027	LWK	Male
NA19028	LWK	Male
NA19031	LWK	Male
NA19037	LWK	Female
NA19043	LWK	Male
NA19055	JPT	Male
NA19059	JPT	Female
NA19068	JPT	Male
NA19070	JPT	Male
NA19080	JPT	Female
NA19086	JPT	Male
NA19096	YRI	Male
NA19101	YRI	Male
NA19113	YRI	Male
NA19114	YRI	Female
NA19118	YRI	Female
NA19119	YRI	Male
NA19122	YRI	Female
NA19127	YRI	Female
NA19128	YRI	Male
NA19129	YRI	Female
NA19137	YRI	Female
NA19144	YRI	Male
NA19146	YRI	Male
NA19147	YRI	Female
NA19153	YRI	Male
NA19189	YRI	Male
NA19193	YRI	Female
NA19197	YRI	Female
NA19207	YRI	Male
NA19238	YRI	Female
NA19307	LWK	Male
NA19310	LWK	Female
NA19315	LWK	Female
NA19319	LWK	Male
NA19327	LWK	Female
NA19328	LWK	Female
NA19331	LWK	Male
NA19338	LWK	Female
NA19347	LWK	Male
NA19350	LWK	Male
NA19351	LWK	Female
NA19352	LWK	Male
NA19355	LWK	Female
NA19383	LWK	Male
NA19385	LWK	Male
NA19391	LWK	Female
NA19393	LWK	Male
NA19397	LWK	Male
NA19398	LWK	Female
NA19399	LWK	Female
NA19403	LWK	Female
NA19432	LWK	Female
NA19439	LWK	Female
NA19449	LWK	Female
NA19453	LWK	Male
NA19463	LWK	Female
NA19472	LWK	Female
NA19651	MXL	Female
NA19652	MXL	Male
NA19654	MXL	Female
NA19655	MXL	Male
NA19657	MXL	Female
NA19658	MXL	Male
NA19660	MXL	Female
NA19661	MXL	Male
NA19663	MXL	Female
NA19664	MXL	Male
NA19669	MXL	Female
NA19675	MXL	Female
NA19676	MXL	Male
NA19679	MXL	Male
NA19717	MXL	Male
NA19720	MXL	Male
NA19723	MXL	Male
NA19728	MXL	Female
NA19729	MXL	Male
NA19734	MXL	Female
NA19735	MXL	Male
NA19740	MXL	Female
NA19747	MXL	Male
NA19749	MXL	Female
NA19750	MXL	Male
NA19753	MXL	Male
NA19758	MXL	Female
NA19759	MXL	Male
NA19762	MXL	Male
NA19770	MXL	Female
NA19774	MXL	Male
NA19782	MXL	Female
NA19786	MXL	Male
NA19789	MXL	Male
NA20503	TSI	Female
NA20504	TSI	Female
NA20505	TSI	Female
NA20514	TSI	Female
NA20520	TSI	Male
NA20525	TSI	Male
NA20526	TSI	Female
NA20530	TSI	Female
NA20531	TSI	Female
NA20532	TSI	Male
NA20534	TSI	Male
NA20536	TSI	Male
NA20538	TSI	Male
NA20539	TSI	Male
NA20540	TSI	Female
NA20585	TSI	Female
NA20587	TSI	Female
NA20588	TSI	Male
NA20753	TSI	Female
NA20757	TSI	Female
NA20761	TSI	Female
NA20762	TSI	Male
NA20764	TSI	Female
NA20769	TSI	Female
NA20775	TSI	Female
NA20778	TSI	Male
NA20785	TSI	Male
NA20787	TSI	Male
NA20795	TSI	Female
NA20801	TSI	Male
NA20805	TSI	Male
NA20810	TSI	Male
NA20813	TSI	Female
NA20820	TSI	Male
NA20822	TSI	Female
